region,epiweek,is_test,pred_1,true_1,pred_2,true_2,pred_3,true_3,pred_4,true_4,target
AL,202440,False,14.457021,22.0,32.59502,21.0,28.09093,27.0,41.545277,47.0,nhsn_c19_hosp
AK,202440,False,2.7123928,5.0,2.4294605,5.0,0.5502605,6.0,4.082098,9.0,nhsn_c19_hosp
AZ,202440,False,84.65188,17.0,98.15664,33.0,55.169823,419.0,1.0365214,451.0,nhsn_c19_hosp
AR,202440,False,31.774782,1.0,6.6902943,12.0,11.999571,20.0,47.71783,36.0,nhsn_c19_hosp
CA,202440,False,459.1962,309.0,382.0148,561.0,324.52115,550.0,233.27968,537.0,nhsn_c19_hosp
CO,202440,False,22.057629,85.0,9.21864,30.0,7.843243,45.0,0.6973692,67.0,nhsn_c19_hosp
CT,202440,False,140.6171,0.0,126.94037,109.0,115.59778,102.0,69.71117,102.0,nhsn_c19_hosp
DE,202440,False,62.65634,7.0,57.22637,13.0,55.39733,8.0,46.766865,10.0,nhsn_c19_hosp
DC,202440,False,10.616845,0.0,0.86267984,0.0,2.8520954,0.0,4.569617,4.0,nhsn_c19_hosp
FL,202440,False,124.38067,12.0,105.59002,146.00000000000023,136.06609,99.0,60.778004,129.0,nhsn_c19_hosp
GA,202440,False,11.048211,12.0,12.818109,31.0,73.630486,46.0,46.07946,52.0,nhsn_c19_hosp
ID,202440,False,2.6157327,11.0,0.012181756,9.0,3.7171912,9.0,8.6162615,18.0,nhsn_c19_hosp
IL,202440,False,164.89867,58.0,113.87449,33.0,48.10661,72.0,12.9818535,120.0,nhsn_c19_hosp
IN,202440,False,69.56591,17.0,17.36761,22.0,34.1879,47.0,73.27708,98.0,nhsn_c19_hosp
IA,202440,False,79.97216,8.0,60.754673,32.0,75.80367,36.0,81.0472,44.0,nhsn_c19_hosp
KS,202440,False,29.926706,2.0,17.861032,18.0,16.828089,25.0,1.4551915,37.0,nhsn_c19_hosp
KY,202440,False,23.054295,3.0,45.464207,34.0,43.3588,46.0,65.57135,90.0,nhsn_c19_hosp
LA,202440,False,23.197372,1.0,27.600449,24.0,24.24797,42.0,47.133743,63.0,nhsn_c19_hosp
ME,202440,False,10.01325,2.0,6.1805706,14.0,0.5783063,12.0,2.6829472,11.0,nhsn_c19_hosp
MD,202440,False,0.39361095,8.0,25.038763,17.0,58.995853,24.0,104.777596,58.0,nhsn_c19_hosp
MA,202440,False,49.862244,6.0,26.25162,7.0,15.174166,0.0,29.088594,34.0,nhsn_c19_hosp
MI,202440,False,279.90262,15.0,221.70612,40.000000000000114,149.56473,92.0,94.758934,155.0,nhsn_c19_hosp
MN,202440,False,10.533476,8.0,17.955015,53.0,26.077116,37.0,20.292265,129.0,nhsn_c19_hosp
MS,202440,False,11.065219,0.0,38.553516,7.0,45.191547,5.0,68.987656,23.0,nhsn_c19_hosp
MO,202440,False,44.45897,9.0,16.54155,27.0,2.775071,27.0,34.713516,51.0,nhsn_c19_hosp
MT,202440,False,26.737219,45.99999999999999,29.9952,13.0,36.288177,21.0,35.641953,28.0,nhsn_c19_hosp
NE,202440,False,10.810112,4.000000000000014,5.3800125,10.0,3.5722806,17.0,7.176193,19.0,nhsn_c19_hosp
NV,202440,False,30.57975,0.0,2.3306355,23.0,40.329384,20.0,87.206,36.00000000000003,nhsn_c19_hosp
